epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,64.4675,0.56993,0.69335,0.96774,0.97791,0.66667,0.82917,0.45305,1.74469,1.2701,1.87438,0.000480213,0.000480213,0.000480213
119,64.9369,0.57986,0.63892,0.95174,0.98667,0.66667,0.82917,0.66685,0.7502,0.90766,1.00979,0.000478975,0.000478975,0.000478975
120,65.4314,0.57852,0.66129,0.93524,0.98587,0.66667,0.72967,0.65335,0.57372,1.0437,0.94214,0.000477738,0.000477738,0.000477738
121,65.9992,0.57216,0.64604,0.92725,0.9869,0.66667,0.68406,0.56894,0.57895,1.30578,0.94864,0.0004765,0.0004765,0.0004765
122,66.654,0.61616,0.6587,0.95438,0.98407,0.66667,0.66333,0.58777,0.54485,1.42666,0.95846,0.000475263,0.000475263,0.000475263
123,67.205,0.60872,0.63511,0.957,0.97716,0.66667,0.66333,0.60146,0.51957,1.46676,0.96114,0.000474025,0.000474025,0.000474025
124,67.7449,0.57685,0.67839,0.94918,0.98058,0.66667,0.66333,0.597,0.52671,1.30292,0.98083,0.000472788,0.000472788,0.000472788
125,68.2996,0.57218,0.64526,0.94215,0.98704,0.66667,0.69348,0.62715,0.50182,1.06498,0.96455,0.00047155,0.00047155,0.00047155
126,68.9444,0.58286,0.6628,0.96754,0.98076,0.66667,0.69348,0.62715,0.54623,0.97044,0.97181,0.000470312,0.000470312,0.000470312
127,69.4686,0.55971,0.63281,0.9418,0.98179,0.66667,0.68885,0.62677,0.50078,1.04764,0.96244,0.000469075,0.000469075,0.000469075
128,70.0297,0.55157,0.6467,0.92829,0.98365,0.66667,0.71861,0.64675,0.45273,1.11581,0.94522,0.000467837,0.000467837,0.000467837
129,70.5439,0.58816,0.6521,0.95256,0.98564,0.66667,0.71861,0.65228,0.44469,1.09199,0.93583,0.0004666,0.0004666,0.0004666
130,71.0557,0.57702,0.62604,0.94714,0.98379,0.66667,0.74625,0.72517,0.41927,1.01704,0.93295,0.000465363,0.000465363,0.000465363
131,71.5827,0.55428,0.65061,0.94476,0.98657,0.66667,0.77389,0.70653,0.4326,0.94532,0.93001,0.000464125,0.000464125,0.000464125
132,72.0999,0.52123,0.59551,0.92857,0.98353,0.66667,0.995,0.91991,0.49724,0.91524,0.93135,0.000462887,0.000462887,0.000462887
133,72.7745,0.5162,0.5301,0.89151,0.98179,0.66667,0.995,0.8955,0.50723,1.02758,0.94011,0.00046165,0.00046165,0.00046165
134,73.3123,0.5958,0.63787,0.97112,0.98677,0.66667,0.995,0.8955,0.54268,1.00585,0.95289,0.000460413,0.000460413,0.000460413
135,73.9721,0.56613,0.61421,0.92977,0.97833,0.66667,0.82917,0.80993,0.42605,1.03647,0.9361,0.000459175,0.000459175,0.000459175
136,74.6551,0.51909,0.57556,0.91247,0.98375,0.66667,0.995,0.94204,0.47482,1.05241,0.94052,0.000457938,0.000457938,0.000457938
137,75.3486,0.5529,0.60163,0.90794,0.97977,0.66667,0.995,0.93609,0.45708,1.04046,0.93369,0.0004567,0.0004567,0.0004567
138,75.9791,0.52722,0.58292,0.92723,0.97815,0.66667,0.995,0.93397,0.48238,0.97165,0.92835,0.000455462,0.000455462,0.000455462
139,76.6096,0.53203,0.60139,0.93729,0.98485,0.66667,0.995,0.92867,0.50635,0.95607,0.92315,0.000454225,0.000454225,0.000454225
140,77.2963,0.51214,0.58396,0.93018,0.97733,0.66667,0.995,0.92867,0.46964,1.01826,0.91775,0.000452987,0.000452987,0.000452987
141,77.9801,0.50375,0.54752,0.89299,0.97393,0.66667,0.82917,0.77026,0.45913,1.04789,0.91785,0.00045175,0.00045175,0.00045175
142,78.6613,0.52503,0.60199,0.92493,0.98171,0.66667,0.82917,0.72967,0.48073,1.00254,0.92817,0.000450513,0.000450513,0.000450513
143,79.331,0.60738,0.63218,0.95494,0.98566,0.66667,0.995,0.86233,0.5962,0.94804,0.94953,0.000449275,0.000449275,0.000449275
144,80.0085,0.51956,0.58761,0.89922,0.9662,0.66667,0.995,0.54557,1.84956,1.14553,1.90159,0.000448037,0.000448037,0.000448037
145,80.5566,0.54656,0.60318,0.93757,0.95038,0.66667,0.995,0.44514,2.14923,1.42026,2.42474,0.0004468,0.0004468,0.0004468
146,81.0881,0.55675,0.61635,0.92795,0.95878,0.66667,0.995,0.68011,1.54326,1.05514,1.49495,0.000445562,0.000445562,0.000445562
147,81.5879,0.49298,0.54371,0.9021,0.98671,0.66667,0.995,0.88308,0.66757,0.89214,0.98531,0.000444325,0.000444325,0.000444325
148,82.2729,0.47181,0.52472,0.88539,0.98688,0.66667,0.995,0.91525,0.51871,0.8077,0.94195,0.000443088,0.000443088,0.000443088
149,82.9549,0.49121,0.5467,0.91313,0.98573,0.66667,0.995,0.96183,0.4895,0.89382,0.92675,0.00044185,0.00044185,0.00044185
150,83.6193,0.48909,0.54004,0.90986,0.98258,0.66667,0.995,0.96183,0.42786,0.81425,0.92282,0.000440612,0.000440612,0.000440612
151,84.3153,0.53098,0.57807,0.93557,0.98357,0.66667,0.995,0.96183,0.36514,0.77994,0.92401,0.000439375,0.000439375,0.000439375
152,85.0088,0.51026,0.55219,0.90931,0.984,0.66667,0.995,0.91911,0.46056,0.79385,0.9333,0.000438138,0.000438138,0.000438138
153,85.6648,0.51172,0.56947,0.92729,0.97903,0.66667,0.995,0.93324,0.45097,0.85849,0.9357,0.0004369,0.0004369,0.0004369
154,86.226,0.50496,0.53295,0.8915,0.98374,0.66667,0.995,0.93795,0.44259,0.94273,0.94118,0.000435662,0.000435662,0.000435662
155,86.8846,0.48737,0.51061,0.90768,0.98342,0.66667,0.995,0.96183,0.46696,1.12573,0.92336,0.000434425,0.000434425,0.000434425
156,87.4075,0.49279,0.53262,0.90168,0.97811,0.66667,0.995,0.92867,0.45271,1.13641,0.90785,0.000433187,0.000433187,0.000433187
157,87.9655,0.4927,0.53342,0.90537,0.98069,0.66667,0.995,0.92867,0.43767,0.9748,0.90211,0.00043195,0.00043195,0.00043195
